,precision,recall,f1-score,support
flat-coated_retriever,0.8125,0.8666666666666667,0.8387096774193549,15.0
giant_schnauzer,0.5652173913043478,0.8666666666666667,0.6842105263157895,15.0
golden_retriever,0.75,0.8,0.7741935483870968,15.0
groenendael,1.0,0.8666666666666667,0.9285714285714286,15.0
keeshond,1.0,1.0,1.0,16.0
kelpie,0.631578947368421,0.75,0.6857142857142857,16.0
komondor,1.0,1.0,1.0,16.0
kuvasz,0.8461538461538461,0.7333333333333333,0.7857142857142857,15.0
malamute,0.6190476190476191,0.7222222222222222,0.6666666666666666,18.0
malinois,1.0,0.7333333333333333,0.8461538461538461,15.0
miniature_pinscher,0.8888888888888888,0.8421052631578947,0.8648648648648649,19.0
miniature_poodle,0.75,0.75,0.75,16.0
miniature_schnauzer,0.8,0.75,0.7741935483870968,16.0
otterhound,0.9230769230769231,0.8,0.8571428571428571,15.0
papillon,1.0,0.9473684210526315,0.972972972972973,19.0
pug,0.95,0.95,0.95,20.0
redbone,0.8,0.8,0.8,15.0
schipperke,0.8235294117647058,0.875,0.8484848484848485,16.0
silky_terrier,0.65,0.7222222222222222,0.6842105263157895,18.0
soft-coated_wheaten_terrier,0.6923076923076923,0.6,0.6428571428571429,15.0
standard_poodle,0.75,0.75,0.75,16.0
standard_schnauzer,0.7222222222222222,0.8125,0.7647058823529411,16.0
toy_poodle,0.9166666666666666,0.7333333333333333,0.8148148148148148,15.0
toy_terrier,0.8571428571428571,0.7058823529411765,0.7741935483870968,17.0
vizsla,0.7777777777777778,0.875,0.8235294117647058,16.0
whippet,0.6111111111111112,0.5789473684210527,0.5945945945945946,19.0
wire-haired_fox_terrier,0.7857142857142857,0.6875,0.7333333333333333,16.0
accuracy,0.8061224489795918,0.8061224489795918,0.8061224489795918,0.8061224489795918
macro avg,0.8178218184635697,0.8034576151468146,0.8040057930590978,2058.0
weighted avg,0.8169153144412452,0.8061224489795918,0.8051310480656221,2058.0
